antecedents_str,consequents_str,rule_str,support,confidence,lift,leverage,conviction
brand_huawei,ram_16go,brand_huawei  →  ram_16go,0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
"brand_huawei, normal",ram_16go,"brand_huawei, normal  →  ram_16go",0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
"brand_huawei, platform_aliexpress","normal, ram_16go","brand_huawei, platform_aliexpress  →  normal, ram_16go",0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
brand_acer,"normal, platform_aliexpress, ram_32go+","brand_acer  →  normal, platform_aliexpress, ram_32go+",0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
brand_acer,"normal, ram_32go+","brand_acer  →  normal, ram_32go+",0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
"brand_huawei, normal, platform_aliexpress",ram_16go,"brand_huawei, normal, platform_aliexpress  →  ram_16go",0.08,0.7999999999999999,2.4999999999999996,0.048,3.3999999999999986
"bas_de_gamme, ram_32go+","normal, ssd_1to","bas_de_gamme, ram_32go+  →  normal, ssd_1to",0.14,0.5833333333333334,2.430555555555556,0.08240000000000001,1.8240000000000003
"normal, ssd_1to","bas_de_gamme, ram_32go+","normal, ssd_1to  →  bas_de_gamme, ram_32go+",0.14,0.5833333333333334,2.430555555555556,0.08240000000000001,1.8240000000000003
"platform_aliexpress, ram_16go","normal, ssd_512go","platform_aliexpress, ram_16go  →  normal, ssd_512go",0.16,0.5333333333333333,2.4242424242424243,0.094,1.6714285714285715
ssd_512go,"platform_aliexpress, ram_16go","ssd_512go  →  platform_aliexpress, ram_16go",0.16,0.7272727272727273,2.4242424242424243,0.094,2.566666666666667
"platform_aliexpress, ram_16go",ssd_512go,"platform_aliexpress, ram_16go  →  ssd_512go",0.16,0.5333333333333333,2.4242424242424243,0.094,1.6714285714285715
"bas_de_gamme, ssd_512go","platform_aliexpress, ram_16go","bas_de_gamme, ssd_512go  →  platform_aliexpress, ram_16go",0.16,0.7272727272727273,2.4242424242424243,0.094,2.566666666666667
"platform_aliexpress, ram_16go","bas_de_gamme, ssd_512go","platform_aliexpress, ram_16go  →  bas_de_gamme, ssd_512go",0.16,0.5333333333333333,2.4242424242424243,0.094,1.6714285714285715
"normal, ssd_512go","platform_aliexpress, ram_16go","normal, ssd_512go  →  platform_aliexpress, ram_16go",0.16,0.7272727272727273,2.4242424242424243,0.094,2.566666666666667
ssd_512go,"normal, platform_aliexpress, ram_16go","ssd_512go  →  normal, platform_aliexpress, ram_16go",0.16,0.7272727272727273,2.4242424242424243,0.094,2.566666666666667
"normal, platform_aliexpress, ram_16go",ssd_512go,"normal, platform_aliexpress, ram_16go  →  ssd_512go",0.16,0.5333333333333333,2.4242424242424243,0.094,1.6714285714285715
"brand_acer, ssd_1to","normal, ram_32go+","brand_acer, ssd_1to  →  normal, ram_32go+",0.06,0.75,2.34375,0.0344,2.7199999999999998
"bas_de_gamme, brand_xiaomi, normal",ssd_1to,"bas_de_gamme, brand_xiaomi, normal  →  ssd_1to",0.06,0.6,2.3076923076923075,0.033999999999999996,1.8499999999999999
"brand_lenovo, platform_aliexpress",ssd_1to,"brand_lenovo, platform_aliexpress  →  ssd_1to",0.06,0.6,2.3076923076923075,0.033999999999999996,1.8499999999999999
"bas_de_gamme, brand_xiaomi",ssd_1to,"bas_de_gamme, brand_xiaomi  →  ssd_1to",0.06,0.6,2.3076923076923075,0.033999999999999996,1.8499999999999999
"bas_de_gamme, brand_xiaomi","platform_aliexpress, ssd_1to","bas_de_gamme, brand_xiaomi  →  platform_aliexpress, ssd_1to",0.06,0.6,2.3076923076923075,0.033999999999999996,1.8499999999999999
"bas_de_gamme, brand_xiaomi, platform_aliexpress",ssd_1to,"bas_de_gamme, brand_xiaomi, platform_aliexpress  →  ssd_1to",0.06,0.6,2.3076923076923075,0.033999999999999996,1.8499999999999999
ssd_2to+,ram_32go+,ssd_2to+  →  ram_32go+,0.14,0.8750000000000001,2.3026315789473686,0.07920000000000002,4.960000000000004
"platform_aliexpress, ssd_2to+",ram_32go+,"platform_aliexpress, ssd_2to+  →  ram_32go+",0.14,0.8750000000000001,2.3026315789473686,0.07920000000000002,4.960000000000004
ssd_2to+,"platform_aliexpress, ram_32go+","ssd_2to+  →  platform_aliexpress, ram_32go+",0.14,0.8750000000000001,2.3026315789473686,0.07920000000000002,4.960000000000004
ssd_1to,"bas_de_gamme, ram_32go+","ssd_1to  →  bas_de_gamme, ram_32go+",0.14,0.5384615384615385,2.243589743589744,0.07760000000000002,1.646666666666667
ssd_1to,"bas_de_gamme, platform_aliexpress, ram_32go+","ssd_1to  →  bas_de_gamme, platform_aliexpress, ram_32go+",0.14,0.5384615384615385,2.243589743589744,0.07760000000000002,1.646666666666667
"platform_aliexpress, ssd_1to","bas_de_gamme, ram_32go+","platform_aliexpress, ssd_1to  →  bas_de_gamme, ram_32go+",0.14,0.5384615384615385,2.243589743589744,0.07760000000000002,1.646666666666667
ssd_1to,"bas_de_gamme, normal, ram_32go+","ssd_1to  →  bas_de_gamme, normal, ram_32go+",0.14,0.5384615384615385,2.243589743589744,0.07760000000000002,1.646666666666667
"bas_de_gamme, platform_aliexpress, ram_32go+",ssd_1to,"bas_de_gamme, platform_aliexpress, ram_32go+  →  ssd_1to",0.14,0.5833333333333334,2.2435897435897436,0.07760000000000002,1.7760000000000002
"bas_de_gamme, ram_32go+",ssd_1to,"bas_de_gamme, ram_32go+  →  ssd_1to",0.14,0.5833333333333334,2.2435897435897436,0.07760000000000002,1.7760000000000002
"bas_de_gamme, ram_32go+","platform_aliexpress, ssd_1to","bas_de_gamme, ram_32go+  →  platform_aliexpress, ssd_1to",0.14,0.5833333333333334,2.2435897435897436,0.07760000000000002,1.7760000000000002
"bas_de_gamme, normal, ram_32go+",ssd_1to,"bas_de_gamme, normal, ram_32go+  →  ssd_1to",0.14,0.5833333333333334,2.2435897435897436,0.07760000000000002,1.7760000000000002
"normal, ssd_2to+",ram_32go+,"normal, ssd_2to+  →  ram_32go+",0.1,0.8333333333333334,2.192982456140351,0.054400000000000004,3.7200000000000006
"normal, ssd_2to+","platform_aliexpress, ram_32go+","normal, ssd_2to+  →  platform_aliexpress, ram_32go+",0.1,0.8333333333333334,2.192982456140351,0.054400000000000004,3.7200000000000006
"normal, platform_aliexpress, ssd_2to+",ram_32go+,"normal, platform_aliexpress, ssd_2to+  →  ram_32go+",0.1,0.8333333333333334,2.192982456140351,0.054400000000000004,3.7200000000000006
"brand_acer, normal, platform_aliexpress",ram_32go+,"brand_acer, normal, platform_aliexpress  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, brand_acer","platform_aliexpress, ram_32go+","bas_de_gamme, brand_acer  →  platform_aliexpress, ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, brand_acer, normal",ram_32go+,"bas_de_gamme, brand_acer, normal  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, platform_aliexpress, ssd_2to+",ram_32go+,"bas_de_gamme, platform_aliexpress, ssd_2to+  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, ssd_2to+","platform_aliexpress, ram_32go+","bas_de_gamme, ssd_2to+  →  platform_aliexpress, ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, ssd_2to+",ram_32go+,"bas_de_gamme, ssd_2to+  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, normal, ssd_2to+",ram_32go+,"bas_de_gamme, normal, ssd_2to+  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"brand_acer, normal","platform_aliexpress, ram_32go+","brand_acer, normal  →  platform_aliexpress, ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, brand_acer, platform_aliexpress",ram_32go+,"bas_de_gamme, brand_acer, platform_aliexpress  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"brand_acer, normal",ram_32go+,"brand_acer, normal  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"bas_de_gamme, brand_acer",ram_32go+,"bas_de_gamme, brand_acer  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
"brand_acer, platform_aliexpress",ram_32go+,"brand_acer, platform_aliexpress  →  ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
brand_acer,"platform_aliexpress, ram_32go+","brand_acer  →  platform_aliexpress, ram_32go+",0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
brand_acer,ram_32go+,brand_acer  →  ram_32go+,0.08,0.7999999999999999,2.1052631578947367,0.041999999999999996,3.0999999999999988
ssd_2to+,"bas_de_gamme, normal, ram_32go+","ssd_2to+  →  bas_de_gamme, normal, ram_32go+",0.08,0.5,2.0833333333333335,0.041600000000000005,1.52
ssd_2to+,"bas_de_gamme, platform_aliexpress, ram_32go+","ssd_2to+  →  bas_de_gamme, platform_aliexpress, ram_32go+",0.08,0.5,2.0833333333333335,0.041600000000000005,1.52
ssd_2to+,"bas_de_gamme, ram_32go+","ssd_2to+  →  bas_de_gamme, ram_32go+",0.08,0.5,2.0833333333333335,0.041600000000000005,1.52
"platform_aliexpress, ssd_2to+","bas_de_gamme, ram_32go+","platform_aliexpress, ssd_2to+  →  bas_de_gamme, ram_32go+",0.08,0.5,2.0833333333333335,0.041600000000000005,1.52
"bas_de_gamme, brand_xiaomi","platform_aliexpress, ram_16go","bas_de_gamme, brand_xiaomi  →  platform_aliexpress, ram_16go",0.06,0.6,2.0,0.03,1.7499999999999998
"bas_de_gamme, ssd_1to","normal, ram_32go+","bas_de_gamme, ssd_1to  →  normal, ram_32go+",0.14,0.6363636363636365,1.988636363636364,0.06960000000000001,1.8700000000000003
"brand_acer, platform_aliexpress, ssd_1to",ram_32go+,"brand_acer, platform_aliexpress, ssd_1to  →  ram_32go+",0.06,0.75,1.9736842105263157,0.029599999999999998,2.48
"brand_acer, ssd_1to","platform_aliexpress, ram_32go+","brand_acer, ssd_1to  →  platform_aliexpress, ram_32go+",0.06,0.75,1.9736842105263157,0.029599999999999998,2.48
"brand_acer, normal, ssd_1to",ram_32go+,"brand_acer, normal, ssd_1to  →  ram_32go+",0.06,0.75,1.9736842105263157,0.029599999999999998,2.48
"brand_acer, ssd_1to",ram_32go+,"brand_acer, ssd_1to  →  ram_32go+",0.06,0.75,1.9736842105263157,0.029599999999999998,2.48
"bas_de_gamme, brand_acer, ssd_1to",ram_32go+,"bas_de_gamme, brand_acer, ssd_1to  →  ram_32go+",0.06,0.75,1.9736842105263157,0.029599999999999998,2.48
ssd_2to+,"normal, platform_aliexpress, ram_32go+","ssd_2to+  →  normal, platform_aliexpress, ram_32go+",0.1,0.625,1.953125,0.0488,1.8133333333333332
"platform_aliexpress, ssd_2to+","normal, ram_32go+","platform_aliexpress, ssd_2to+  →  normal, ram_32go+",0.1,0.625,1.953125,0.0488,1.8133333333333332
ssd_2to+,"normal, ram_32go+","ssd_2to+  →  normal, ram_32go+",0.1,0.625,1.953125,0.0488,1.8133333333333332
ssd_1to,"normal, platform_aliexpress, ram_32go+","ssd_1to  →  normal, platform_aliexpress, ram_32go+",0.16,0.6153846153846154,1.9230769230769231,0.0768,1.768
ssd_1to,"normal, ram_32go+","ssd_1to  →  normal, ram_32go+",0.16,0.6153846153846154,1.9230769230769231,0.0768,1.768
"platform_aliexpress, ssd_1to","normal, ram_32go+","platform_aliexpress, ssd_1to  →  normal, ram_32go+",0.16,0.6153846153846154,1.9230769230769231,0.0768,1.768
"normal, ram_32go+","platform_aliexpress, ssd_1to","normal, ram_32go+  →  platform_aliexpress, ssd_1to",0.16,0.5,1.923076923076923,0.0768,1.48
"normal, ram_32go+",ssd_1to,"normal, ram_32go+  →  ssd_1to",0.16,0.5,1.923076923076923,0.0768,1.48
brand_lenovo,ssd_1to,brand_lenovo  →  ssd_1to,0.06,0.5,1.923076923076923,0.0288,1.48
brand_lenovo,"platform_aliexpress, ssd_1to","brand_lenovo  →  platform_aliexpress, ssd_1to",0.06,0.5,1.923076923076923,0.0288,1.48
"normal, platform_aliexpress, ram_32go+",ssd_1to,"normal, platform_aliexpress, ram_32go+  →  ssd_1to",0.16,0.5,1.923076923076923,0.0768,1.48
brand_honor,"normal, ram_32go+","brand_honor  →  normal, ram_32go+",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
"bas_de_gamme, brand_xiaomi","normal, ram_16go","bas_de_gamme, brand_xiaomi  →  normal, ram_16go",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
"bas_de_gamme, brand_xiaomi, normal",ram_16go,"bas_de_gamme, brand_xiaomi, normal  →  ram_16go",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
brand_honor,"normal, platform_aliexpress, ram_32go+","brand_honor  →  normal, platform_aliexpress, ram_32go+",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
"brand_honor, platform_aliexpress","normal, ram_32go+","brand_honor, platform_aliexpress  →  normal, ram_32go+",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
"bas_de_gamme, brand_xiaomi",ram_16go,"bas_de_gamme, brand_xiaomi  →  ram_16go",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
"bas_de_gamme, brand_xiaomi, platform_aliexpress",ram_16go,"bas_de_gamme, brand_xiaomi, platform_aliexpress  →  ram_16go",0.06,0.6,1.875,0.027999999999999997,1.6999999999999997
ssd_1to,ram_32go+,ssd_1to  →  ram_32go+,0.18,0.6923076923076923,1.8218623481781375,0.0812,2.0149999999999997
ssd_1to,"platform_aliexpress, ram_32go+","ssd_1to  →  platform_aliexpress, ram_32go+",0.18,0.6923076923076923,1.8218623481781375,0.0812,2.0149999999999997
"platform_aliexpress, ssd_1to",ram_32go+,"platform_aliexpress, ssd_1to  →  ram_32go+",0.18,0.6923076923076923,1.8218623481781375,0.0812,2.0149999999999997
"normal, ssd_1to","platform_aliexpress, ram_32go+","normal, ssd_1to  →  platform_aliexpress, ram_32go+",0.16,0.6666666666666667,1.7543859649122808,0.0688,1.8600000000000003
"normal, ssd_1to",ram_32go+,"normal, ssd_1to  →  ram_32go+",0.16,0.6666666666666667,1.7543859649122808,0.0688,1.8600000000000003
"normal, platform_aliexpress, ssd_1to",ram_32go+,"normal, platform_aliexpress, ssd_1to  →  ram_32go+",0.16,0.6666666666666667,1.7543859649122808,0.0688,1.8600000000000003
"bas_de_gamme, normal, ssd_1to",ram_32go+,"bas_de_gamme, normal, ssd_1to  →  ram_32go+",0.14,0.6363636363636365,1.6746411483253592,0.056400000000000006,1.7050000000000005
"bas_de_gamme, ssd_1to",ram_32go+,"bas_de_gamme, ssd_1to  →  ram_32go+",0.14,0.6363636363636365,1.6746411483253592,0.056400000000000006,1.7050000000000005
"bas_de_gamme, platform_aliexpress, ssd_1to",ram_32go+,"bas_de_gamme, platform_aliexpress, ssd_1to  →  ram_32go+",0.14,0.6363636363636365,1.6746411483253592,0.056400000000000006,1.7050000000000005
"bas_de_gamme, ssd_1to","platform_aliexpress, ram_32go+","bas_de_gamme, ssd_1to  →  platform_aliexpress, ram_32go+",0.14,0.6363636363636365,1.6746411483253592,0.056400000000000006,1.7050000000000005
brand_xiaomi,"platform_aliexpress, ram_16go","brand_xiaomi  →  platform_aliexpress, ram_16go",0.08,0.5,1.6666666666666667,0.032,1.4
brand_xiaomi,"normal, platform_aliexpress, ram_16go","brand_xiaomi  →  normal, platform_aliexpress, ram_16go",0.08,0.5,1.6666666666666667,0.032,1.4
"brand_xiaomi, normal","platform_aliexpress, ram_16go","brand_xiaomi, normal  →  platform_aliexpress, ram_16go",0.08,0.5,1.6666666666666667,0.032,1.4
"brand_honor, platform_aliexpress",ram_32go+,"brand_honor, platform_aliexpress  →  ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
brand_honor,"platform_aliexpress, ram_32go+","brand_honor  →  platform_aliexpress, ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
"brand_honor, normal",ram_32go+,"brand_honor, normal  →  ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
brand_honor,ram_32go+,brand_honor  →  ram_32go+,0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
"brand_lenovo, platform_aliexpress",ram_32go+,"brand_lenovo, platform_aliexpress  →  ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
"haut_de_gamme, platform_aliexpress",ram_32go+,"haut_de_gamme, platform_aliexpress  →  ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
haut_de_gamme,"platform_aliexpress, ram_32go+","haut_de_gamme  →  platform_aliexpress, ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
"brand_honor, normal, platform_aliexpress",ram_32go+,"brand_honor, normal, platform_aliexpress  →  ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
"brand_honor, normal","platform_aliexpress, ram_32go+","brand_honor, normal  →  platform_aliexpress, ram_32go+",0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
haut_de_gamme,ram_32go+,haut_de_gamme  →  ram_32go+,0.06,0.6,1.5789473684210527,0.021999999999999992,1.5499999999999998
brand_xiaomi,"normal, ram_16go","brand_xiaomi  →  normal, ram_16go",0.08,0.5,1.5625,0.0288,1.3599999999999999
brand_xiaomi,"normal, platform_aliexpress, ram_32go+","brand_xiaomi  →  normal, platform_aliexpress, ram_32go+",0.08,0.5,1.5625,0.0288,1.3599999999999999
brand_xiaomi,"normal, ram_32go+","brand_xiaomi  →  normal, ram_32go+",0.08,0.5,1.5625,0.0288,1.3599999999999999
"brand_xiaomi, normal",ram_16go,"brand_xiaomi, normal  →  ram_16go",0.08,0.5,1.5625,0.0288,1.3599999999999999
"brand_xiaomi, platform_aliexpress",ram_16go,"brand_xiaomi, platform_aliexpress  →  ram_16go",0.08,0.5,1.5625,0.0288,1.3599999999999999
"brand_xiaomi, platform_aliexpress","normal, ram_32go+","brand_xiaomi, platform_aliexpress  →  normal, ram_32go+",0.08,0.5,1.5625,0.0288,1.3599999999999999
brand_xiaomi,ram_16go,brand_xiaomi  →  ram_16go,0.08,0.5,1.5625,0.0288,1.3599999999999999
"brand_xiaomi, normal, platform_aliexpress",ram_16go,"brand_xiaomi, normal, platform_aliexpress  →  ram_16go",0.08,0.5,1.5625,0.0288,1.3599999999999999
"brand_xiaomi, platform_aliexpress","normal, ram_16go","brand_xiaomi, platform_aliexpress  →  normal, ram_16go",0.08,0.5,1.5625,0.0288,1.3599999999999999
brand_acer,"bas_de_gamme, normal, platform_aliexpress","brand_acer  →  bas_de_gamme, normal, platform_aliexpress",0.1,1.0,1.5151515151515151,0.034,inf
"brand_xiaomi, ssd_1to","bas_de_gamme, platform_aliexpress","brand_xiaomi, ssd_1to  →  bas_de_gamme, platform_aliexpress",0.06,1.0,1.5151515151515151,0.020399999999999995,inf
"brand_honor, ssd_2to+","bas_de_gamme, platform_aliexpress","brand_honor, ssd_2to+  →  bas_de_gamme, platform_aliexpress",0.06,1.0,1.5151515151515151,0.020399999999999995,inf
brand_acer,"bas_de_gamme, platform_aliexpress","brand_acer  →  bas_de_gamme, platform_aliexpress",0.1,1.0,1.5151515151515151,0.034,inf
"brand_huawei, ram_16go","bas_de_gamme, platform_aliexpress","brand_huawei, ram_16go  →  bas_de_gamme, platform_aliexpress",0.08,1.0,1.5151515151515151,0.027199999999999995,inf
"brand_honor, ram_32go+","bas_de_gamme, platform_aliexpress","brand_honor, ram_32go+  →  bas_de_gamme, platform_aliexpress",0.06,1.0,1.5151515151515151,0.020399999999999995,inf
"brand_acer, normal","bas_de_gamme, platform_aliexpress","brand_acer, normal  →  bas_de_gamme, platform_aliexpress",0.1,1.0,1.5151515151515151,0.034,inf
"brand_acer, ram_32go+","bas_de_gamme, platform_aliexpress","brand_acer, ram_32go+  →  bas_de_gamme, platform_aliexpress",0.08,1.0,1.5151515151515151,0.027199999999999995,inf
"brand_huawei, ssd_512go","bas_de_gamme, platform_aliexpress","brand_huawei, ssd_512go  →  bas_de_gamme, platform_aliexpress",0.06,1.0,1.5151515151515151,0.020399999999999995,inf
"brand_acer, ssd_1to","bas_de_gamme, platform_aliexpress","brand_acer, ssd_1to  →  bas_de_gamme, platform_aliexpress",0.08,1.0,1.5151515151515151,0.027199999999999995,inf
"ram_16go, ssd_1to","bas_de_gamme, platform_aliexpress","ram_16go, ssd_1to  →  bas_de_gamme, platform_aliexpress",0.08,1.0,1.5151515151515151,0.027199999999999995,inf
"brand_huawei, ssd_512go","bas_de_gamme, normal","brand_huawei, ssd_512go  →  bas_de_gamme, normal",0.06,1.0,1.4285714285714286,0.018000000000000002,inf
"brand_huawei, platform_aliexpress, ram_16go",bas_de_gamme,"brand_huawei, platform_aliexpress, ram_16go  →  bas_de_gamme",0.08,1.0,1.4285714285714286,0.024000000000000007,inf
